CountryCode,CountryName,SubRegion,Capital,ISO2,Latitude,Longitude,MemberStatus,DataNote
BRN,Brunei Darussalam,Maritime ASEAN,Bandar Seri Begawan,BN,4.5353,114.7277,Full Member,
KHM,Cambodia,Mainland ASEAN,Phnom Penh,KH,12.5657,104.991,Full Member,
IDN,Indonesia,Maritime ASEAN,Jakarta,ID,-0.7893,113.9213,Full Member,
LAO,Lao PDR,Mainland ASEAN,Vientiane,LA,19.8563,102.4955,Full Member,
MYS,Malaysia,Maritime ASEAN,Kuala Lumpur,MY,4.2105,101.9758,Full Member,
MMR,Myanmar,Mainland ASEAN,Naypyidaw,MM,21.9162,95.956,Full Member,Data gaps post-2021 due to political disruption
PHL,Philippines,Maritime ASEAN,Manila,PH,12.8797,121.774,Full Member,
SGP,Singapore,Maritime ASEAN,Singapore,SG,1.3521,103.8198,Full Member,High-income city-state — GDP per capita and debt metrics are atypically high
THA,Thailand,Mainland ASEAN,Bangkok,TH,15.87,100.9925,Full Member,
VNM,Viet Nam,Mainland ASEAN,Hanoi,VN,14.0583,108.2772,Full Member,
TLS,Timor-Leste,Observer Candidate,Dili,TL,-8.5569,125.5603,Observer Candidate,Oil-dependent economy — GDP indicators highly volatile
