Year,Date,YearLabel,Decade,Period,DataStatus,IsCurrentYear
2015,2015-01-01,Năm 2015,Thập kỷ 2010s,2015-2020,Actual,False
2016,2016-01-01,Năm 2016,Thập kỷ 2010s,2015-2020,Actual,False
2017,2017-01-01,Năm 2017,Thập kỷ 2010s,2015-2020,Actual,False
2018,2018-01-01,Năm 2018,Thập kỷ 2010s,2015-2020,Actual,False
2019,2019-01-01,Năm 2019,Thập kỷ 2010s,2015-2020,Actual,False
2020,2020-01-01,Năm 2020,Thập kỷ 2020s,2015-2020,Actual,False
2021,2021-01-01,Năm 2021,Thập kỷ 2020s,2021-2025,Actual,False
2022,2022-01-01,Năm 2022,Thập kỷ 2020s,2021-2025,Actual,False
2023,2023-01-01,Năm 2023,Thập kỷ 2020s,2021-2025,Actual,False
2024,2024-01-01,Năm 2024,Thập kỷ 2020s,2021-2025,Preliminary,False
2025,2025-01-01,Năm 2025,Thập kỷ 2020s,2021-2025,Forecast/Incomplete,True
