CountryCode,SeriesCode,Year,Value
BRN,IT.NET.USER.ZS,2015,71.19999695
BRN,IT.NET.USER.ZS,2016,90.0
BRN,IT.NET.USER.ZS,2017,94.86669922
BRN,IT.NET.USER.ZS,2018,95.0
BRN,IT.NET.USER.ZS,2019,95.0
BRN,IT.NET.USER.ZS,2020,96.30549622
BRN,IT.NET.USER.ZS,2021,97.62879944
BRN,IT.NET.USER.ZS,2022,98.97042579
BRN,IT.NET.USER.ZS,2023,98.97039795
BRN,IT.NET.USER.ZS,2024,96.29828801
BRN,IT.CEL.SETS.P2,2015,109.7514992
BRN,IT.CEL.SETS.P2,2016,122.426818
BRN,IT.CEL.SETS.P2,2017,125.8704352
BRN,IT.CEL.SETS.P2,2018,129.2681757
BRN,IT.CEL.SETS.P2,2019,129.8452607
BRN,IT.CEL.SETS.P2,2020,119.9338853
BRN,IT.CEL.SETS.P2,2021,133.5970654
BRN,IT.CEL.SETS.P2,2022,116.1084393
BRN,IT.CEL.SETS.P2,2023,118.6737524
BRN,IT.CEL.SETS.P2,2024,118.1305798
BRN,IT.NET.BBND.P2,2015,8.153486874
BRN,IT.NET.BBND.P2,2016,8.447858098
BRN,IT.NET.BBND.P2,2017,9.490447626
BRN,IT.NET.BBND.P2,2018,11.29531075
BRN,IT.NET.BBND.P2,2019,12.24247764
BRN,IT.NET.BBND.P2,2020,15.88676006
BRN,IT.NET.BBND.P2,2021,17.58098472
BRN,IT.NET.BBND.P2,2022,19.80499374
BRN,IT.NET.BBND.P2,2023,20.2120497
BRN,IT.NET.BBND.P2,2024,21.17712401
BRN,IT.NET.SECR.P6,2015,563.6978579
BRN,IT.NET.SECR.P6,2016,601.0796045
BRN,IT.NET.SECR.P6,2017,1589.751648
BRN,IT.NET.SECR.P6,2018,1948.333752
BRN,IT.NET.SECR.P6,2019,10492.90684
BRN,IT.NET.SECR.P6,2020,15399.95172
BRN,IT.NET.SECR.P6,2021,14092.76965
BRN,IT.NET.SECR.P6,2022,21094.93379
BRN,IT.NET.SECR.P6,2023,8774.395412
BRN,IT.NET.SECR.P6,2024,16128.5094
KHM,IT.NET.USER.ZS,2015,6.43319107
KHM,IT.NET.USER.ZS,2016,32.39845171
KHM,IT.NET.USER.ZS,2017,32.90027854
KHM,IT.NET.USER.ZS,2018,65.0
KHM,IT.NET.USER.ZS,2019,52.30587822
KHM,IT.NET.USER.ZS,2020,56.37590027
KHM,IT.NET.USER.ZS,2021,60.76269913
KHM,IT.NET.USER.ZS,2022,65.49079895
KHM,IT.NET.USER.ZS,2023,68.92549896
KHM,IT.NET.USER.ZS,2024,68.47530365
KHM,IT.CEL.SETS.P2,2015,133.458414
KHM,IT.CEL.SETS.P2,2016,125.6276445
KHM,IT.CEL.SETS.P2,2017,115.5511924
KHM,IT.CEL.SETS.P2,2018,119.3099435
KHM,IT.CEL.SETS.P2,2019,129.9574415
KHM,IT.CEL.SETS.P2,2020,126.0758948
KHM,IT.CEL.SETS.P2,2021,117.2347852
KHM,IT.CEL.SETS.P2,2022,113.3915066
KHM,IT.CEL.SETS.P2,2023,120.8091194
KHM,IT.CEL.SETS.P2,2024,116.0919611
KHM,IT.NET.BBND.P2,2015,0.534485428
KHM,IT.NET.BBND.P2,2016,0.615922623
KHM,IT.NET.BBND.P2,2017,0.831393686
KHM,IT.NET.BBND.P2,2018,1.02122815
KHM,IT.NET.BBND.P2,2019,1.118716092
KHM,IT.NET.BBND.P2,2020,1.397700298
KHM,IT.NET.BBND.P2,2021,1.980894063
