DestinationCountryCode,OriginCountryCode,Year,Visitors
BRN,KHM,2016,318.0
BRN,KHM,2017,356.0
BRN,KHM,2018,420.0
BRN,KHM,2019,463.0
BRN,KHM,2020,29.0
BRN,KHM,2021,1.0
BRN,KHM,2022,23.0
BRN,KHM,2023,322.0
BRN,KHM,2024,499.0
BRN,KHM,2025,577.0
BRN,IDN,2016,20844.0
BRN,IDN,2017,22420.0
BRN,IDN,2018,27462.0
BRN,IDN,2019,33626.0
BRN,IDN,2020,6262.0
BRN,IDN,2021,135.0
BRN,IDN,2022,1596.0
BRN,IDN,2023,13672.0
BRN,IDN,2024,25974.0
BRN,IDN,2025,31747.0
BRN,LAO,2016,192.0
BRN,LAO,2017,144.0
BRN,LAO,2018,233.0
BRN,LAO,2019,221.0
BRN,LAO,2020,46.0
BRN,LAO,2021,1.0
BRN,LAO,2022,94.0
BRN,LAO,2023,131.0
BRN,LAO,2024,192.0
BRN,LAO,2025,257.0
BRN,MYS,2016,54374.0
BRN,MYS,2017,60030.0
BRN,MYS,2018,59528.0
BRN,MYS,2019,82876.0
BRN,MYS,2020,16869.0
BRN,MYS,2021,568.0
BRN,MYS,2022,12175.0
BRN,MYS,2023,34534.0
BRN,MYS,2024,73653.0
BRN,MYS,2025,71412.0
BRN,MMR,2016,596.0
BRN,MMR,2017,643.0
BRN,MMR,2018,667.0
BRN,MMR,2019,872.0
BRN,MMR,2020,75.0
BRN,MMR,2021,35.0
BRN,MMR,2022,199.0
BRN,MMR,2023,850.0
BRN,MMR,2024,1617.0
BRN,MMR,2025,1318.0
BRN,PHL,2016,17064.0
BRN,PHL,2017,23157.0
BRN,PHL,2018,22319.0
BRN,PHL,2019,24584.0
BRN,PHL,2020,4562.0
BRN,PHL,2021,118.0
BRN,PHL,2022,1914.0
BRN,PHL,2023,9963.0
BRN,PHL,2024,18228.0
BRN,PHL,2025,19054.0
BRN,SGP,2016,14473.0
BRN,SGP,2017,14919.0
BRN,SGP,2018,14091.0
BRN,SGP,2019,14789.0
BRN,SGP,2020,2226.0
BRN,SGP,2021,430.0
BRN,SGP,2022,4193.0
BRN,SGP,2023,9203.0
BRN,SGP,2024,19664.0
BRN,SGP,2025,22781.0
BRN,THA,2016,6303.0
BRN,THA,2017,6302.0
BRN,THA,2018,5828.0
BRN,THA,2019,5730.0
BRN,THA,2020,1040.0
BRN,THA,2021,43.0
BRN,THA,2022,613.0
BRN,THA,2023,2455.0
BRN,THA,2024,4519.0
BRN,THA,2025,4782.0
BRN,TLS,2024,114.0
BRN,VNM,2016,3361.0
BRN,VNM,2017,3380.0
BRN,VNM,2018,4048.0
BRN,VNM,2019,5544.0
BRN,VNM,2020,1462.0
BRN,VNM,2021,13.0
BRN,VNM,2022,632.0
BRN,VNM,2023,2764.0
BRN,VNM,2024,4588.0
BRN,VNM,2025,4617.0
KHM,BRN,2016,1120.0
KHM,BRN,2017,1009.0
KHM,BRN,2018,790.0
KHM,BRN,2019,1131.0
KHM,BRN,2020,150.0
KHM,BRN,2021,11.0
KHM,BRN,2022,560.0
KHM,BRN,2023,545.0
KHM,BRN,2024,541.0
KHM,BRN,2025,462.0
KHM,IDN,2016,48771.0
KHM,IDN,2017,49878.0
KHM,IDN,2018,55753.0
KHM,IDN,2019,66804.0
KHM,IDN,2020,14564.0
KHM,IDN,2021,8410.0
KHM,IDN,2022,75653.0
KHM,IDN,2023,127178.0
KHM,IDN,2024,166795.0
KHM,IDN,2025,149840.0
KHM,LAO,2016,369335.0
KHM,LAO,2017,502219.0
KHM,LAO,2018,426180.0
KHM,LAO,2019,363951.0
KHM,LAO,2020,34352.0
KHM,LAO,2021,282.0
KHM,LAO,2022,92609.0
KHM,LAO,2023,372285.0
KHM,LAO,2024,334448.0
KHM,LAO,2025,131472.0
KHM,MYS,2016,152843.0
KHM,MYS,2017,179316.0
KHM,MYS,2018,201116.0
KHM,MYS,2019,203008.0
KHM,MYS,2020,25734.0
KHM,MYS,2021,2989.0
KHM,MYS,2022,53123.0
KHM,MYS,2023,87825.0
KHM,MYS,2024,94260.0
KHM,MYS,2025,96268.0
KHM,MMR,2016,12819.0
KHM,MMR,2017,18981.0
KHM,MMR,2018,22518.0
KHM,MMR,2019,24414.0
KHM,MMR,2020,3100.0
KHM,MMR,2021,493.0
KHM,MMR,2022,6802.0
KHM,MMR,2023,14390.0
KHM,MMR,2024,36976.0
KHM,MMR,2025,36836.0
KHM,PHL,2016,108032.0
KHM,PHL,2017,98499.0
KHM,PHL,2018,92451.0
KHM,PHL,2019,105017.0
KHM,PHL,2020,14760.0
KHM,PHL,2021,1462.0
KHM,PHL,2022,28929.0
KHM,PHL,2023,62268.0
KHM,PHL,2024,69142.0
KHM,PHL,2025,68864.0
KHM,SGP,2016,70556.0
KHM,SGP,2017,81063.0
KHM,SGP,2018,86251.0
KHM,SGP,2019,88564.0
KHM,SGP,2020,10731.0
KHM,SGP,2021,960.0
KHM,SGP,2022,27750.0
KHM,SGP,2023,43879.0
KHM,SGP,2024,45895.0
KHM,SGP,2025,44189.0
KHM,THA,2016,398081.0
KHM,THA,2017,394934.0
KHM,THA,2018,382317.0
KHM,THA,2019,466493.0
KHM,THA,2020,210876.0
KHM,THA,2021,81844.0
KHM,THA,2022,853376.0
KHM,THA,2023,1820460.0
KHM,THA,2024,2146674.0
KHM,THA,2025,1022743.0
KHM,TLS,2020,20.0
KHM,TLS,2021,1.0
KHM,TLS,2022,207.0
KHM,TLS,2023,383.0
KHM,TLS,2024,313.0
KHM,TLS,2025,285.0
KHM,VNM,2016,959663.0
KHM,VNM,2017,835355.0
KHM,VNM,2018,800128.0
KHM,VNM,2019,908803.0
KHM,VNM,2020,182199.0
KHM,VNM,2021,22120.0
KHM,VNM,2022,463995.0
KHM,VNM,2023,1019812.0
KHM,VNM,2024,1340587.0
KHM,VNM,2025,1222101.0
IDN,BRN,2016,23693.0
IDN,BRN,2017,23455.0
IDN,BRN,2018,17279.0
IDN,BRN,2019,19278.0
IDN,BRN,2020,2701.0
IDN,BRN,2021,144.0
IDN,BRN,2022,4798.0
IDN,BRN,2023,13518.0
IDN,BRN,2024,19811.0
IDN,BRN,2025,31797.0
IDN,KHM,2017,6506.0
IDN,KHM,2018,8875.0
IDN,KHM,2019,13843.0
IDN,KHM,2020,2227.0
IDN,KHM,2021,228.0
IDN,KHM,2022,4945.0
IDN,KHM,2023,12611.0
IDN,KHM,2024,10497.0
IDN,KHM,2025,10949.0
IDN,LAO,2017,4036.0
IDN,LAO,2018,3809.0
IDN,LAO,2019,4142.0
IDN,LAO,2020,753.0
IDN,LAO,2021,7.0
IDN,LAO,2022,1102.0
IDN,LAO,2023,3396.0
IDN,LAO,2024,2951.0
IDN,LAO,2025,3401.0
IDN,MYS,2016,1541197.0
IDN,MYS,2017,2121888.0
IDN,MYS,2018,2503344.0
IDN,MYS,2019,2980753.0
IDN,MYS,2020,980118.0
IDN,MYS,2021,480723.0
IDN,MYS,2022,1212574.0
IDN,MYS,2023,1901242.0
IDN,MYS,2024,2270556.0
IDN,MYS,2025,2639749.0
IDN,MMR,2016,44721.0
IDN,MMR,2017,48133.0
IDN,MMR,2018,28612.0
IDN,MMR,2019,46381.0
IDN,MMR,2020,12669.0
IDN,MMR,2021,3093.0
IDN,MMR,2022,22637.0
IDN,MMR,2023,40920.0
IDN,MMR,2024,49218.0
IDN,MMR,2025,57147.0
IDN,PHL,2016,298910.0
IDN,PHL,2017,308977.0
IDN,PHL,2018,217874.0
IDN,PHL,2019,260980.0
IDN,PHL,2020,50413.0
IDN,PHL,2021,9375.0
IDN,PHL,2022,78436.0
