Tên cột,Kiểu dữ liệu,Số lượng Non-Null,Tỷ lệ thiếu (%),Số giá trị duy nhất,Giá trị mẫu,Phân loại vai trò
Country Name,str,46,6.1,13,Brunei Darussalam,Quốc gia (Geography)
Country Code,str,44,10.2,11,BRN,Mã định danh (Key)
Series Name,str,44,10.2,4,Individuals using the Internet (% of population),Tên chỉ số (Indicator)
Series Code,str,44,10.2,4,IT.NET.USER.ZS,Mã định danh (Key)
2015 [YR2015],float64,44,10.2,44,71.19999695,Thời gian (Date/Year)
2016 [YR2016],str,44,10.2,44,90,Thời gian (Date/Year)
2017 [YR2017],float64,44,10.2,44,94.86669922,Thời gian (Date/Year)
2018 [YR2018],float64,44,10.2,44,95.0,Thời gian (Date/Year)
2019 [YR2019],float64,44,10.2,44,95.0,Thời gian (Date/Year)
2020 [YR2020],float64,44,10.2,44,96.30549622,Thời gian (Date/Year)
2021 [YR2021],str,44,10.2,44,97.62879944,Thời gian (Date/Year)
2022 [YR2022],str,44,10.2,43,98.97042579,Thời gian (Date/Year)
2023 [YR2023],str,44,10.2,43,98.97039795,Thời gian (Date/Year)
2024 [YR2024],str,44,10.2,41,96.29828801,Thời gian (Date/Year)
2025 [YR2025],str,44,10.2,1,..,Thời gian (Date/Year)
