Tên cột,Kiểu dữ liệu,Số lượng Non-Null,Tỷ lệ thiếu (%),Số giá trị duy nhất,Giá trị mẫu,Phân loại vai trò
Country Name,str,145,2.0,13,Brunei Darussalam,Quốc gia (Geography)
Country Code,str,143,3.4,11,BRN,Mã định danh (Key)
Series Name,str,143,3.4,13,"Population, female",Tên chỉ số (Indicator)
Series Code,str,143,3.4,13,SP.POP.TOTL.FE.IN,Mã định danh (Key)
2015 [YR2015],float64,143,3.4,143,198528.0,Thời gian (Date/Year)
2016 [YR2016],float64,143,3.4,143,200827.0,Thời gian (Date/Year)
2017 [YR2017],float64,143,3.4,143,203062.0,Thời gian (Date/Year)
2018 [YR2018],float64,143,3.4,143,205214.0,Thời gian (Date/Year)
2019 [YR2019],float64,143,3.4,143,207287.0,Thời gian (Date/Year)
2020 [YR2020],float64,143,3.4,143,209300.0,Thời gian (Date/Year)
2021 [YR2021],float64,143,3.4,143,211320.0,Thời gian (Date/Year)
2022 [YR2022],float64,143,3.4,143,213203.0,Thời gian (Date/Year)
2023 [YR2023],float64,143,3.4,143,215060.0,Thời gian (Date/Year)
2024 [YR2024],float64,143,3.4,143,217022.0,Thời gian (Date/Year)
2025 [YR2025],str,143,3.4,133,218895,Thời gian (Date/Year)
