Tên cột,Kiểu dữ liệu,Số lượng Non-Null,Tỷ lệ thiếu (%),Số giá trị duy nhất,Giá trị mẫu,Phân loại vai trò
Country Name,str,79,3.7,13,Brunei Darussalam,Quốc gia (Geography)
Country Code,str,77,6.1,11,BRN,Mã định danh (Key)
Series Name,str,77,6.1,7,GDP (current US$),Tên chỉ số (Indicator)
Series Code,str,77,6.1,7,NY.GDP.MKTP.CD,Mã định danh (Key)
2015 [YR2015],str,77,6.1,68,12930296870.1247,Thời gian (Date/Year)
2016 [YR2016],str,77,6.1,68,11400266044.6651,Thời gian (Date/Year)
2017 [YR2017],str,77,6.1,65,12128168045.1245,Thời gian (Date/Year)
2018 [YR2018],str,77,6.1,66,13566908391.0895,Thời gian (Date/Year)
2019 [YR2019],str,77,6.1,66,13469235364.7032,Thời gian (Date/Year)
2020 [YR2020],str,77,6.1,65,12005799653.9835,Thời gian (Date/Year)
2021 [YR2021],str,77,6.1,66,14006496617.4458,Thời gian (Date/Year)
2022 [YR2022],str,77,6.1,66,16681536466.7183,Thời gian (Date/Year)
2023 [YR2023],str,77,6.1,66,15095084656.1634,Thời gian (Date/Year)
2024 [YR2024],str,77,6.1,65,15340808592.48,Thời gian (Date/Year)
2025 [YR2025],str,77,6.1,58,15031980994.1121,Thời gian (Date/Year)
