Tên cột,Kiểu dữ liệu,Số lượng Non-Null,Tỷ lệ thiếu (%),Số giá trị duy nhất,Giá trị mẫu,Phân loại vai trò
Country Name,str,57,5.0,13,Brunei Darussalam,Quốc gia (Geography)
Country Code,str,55,8.3,11,BRN,Mã định danh (Key)
Series Name,str,55,8.3,5,Energy use (kg of oil equivalent per capita),Tên chỉ số (Indicator)
Series Code,str,55,8.3,5,EG.USE.PCAP.KG.OE,Mã định danh (Key)
2015 [YR2015],str,55,8.3,54,6437.00247398227,Thời gian (Date/Year)
2016 [YR2016],str,55,8.3,52,7008.28171997556,Thời gian (Date/Year)
2017 [YR2017],str,55,8.3,52,8385.25858976533,Thời gian (Date/Year)
2018 [YR2018],str,55,8.3,52,8304.04242825767,Thời gian (Date/Year)
2019 [YR2019],str,55,8.3,53,9219.80339333238,Thời gian (Date/Year)
2020 [YR2020],str,55,8.3,52,9175.89257228992,Thời gian (Date/Year)
2021 [YR2021],str,55,8.3,49,8962.62325631033,Thời gian (Date/Year)
2022 [YR2022],str,55,8.3,30,9894.81949906257,Thời gian (Date/Year)
2023 [YR2023],str,55,8.3,29,8658.00697644634,Thời gian (Date/Year)
2024 [YR2024],str,55,8.3,8,..,Thời gian (Date/Year)
2025 [YR2025],str,55,8.3,1,..,Thời gian (Date/Year)
