Tên cột,Kiểu dữ liệu,Số lượng Non-Null,Tỷ lệ thiếu (%),Số giá trị duy nhất,Giá trị mẫu,Phân loại vai trò
Country Name,str,68,4.2,13,Brunei Darussalam,Quốc gia (Geography)
Country Code,str,66,7.0,11,BRN,Mã định danh (Key)
Series Name,str,66,7.0,6,Exports of goods and services (current US$),Tên chỉ số (Indicator)
Series Code,str,66,7.0,6,NE.EXP.GNFS.CD,Mã định danh (Key)
2015 [YR2015],str,66,7.0,64,6751297356.70163,Thời gian (Date/Year)
2016 [YR2016],str,66,7.0,64,5651998520.28491,Thời gian (Date/Year)
2017 [YR2017],str,66,7.0,61,6012333920.6353,Thời gian (Date/Year)
2018 [YR2018],str,66,7.0,61,7045735066.37537,Thời gian (Date/Year)
2019 [YR2019],str,66,7.0,61,7804888584.60408,Thời gian (Date/Year)
2020 [YR2020],str,66,7.0,61,6886059825.91906,Thời gian (Date/Year)
2021 [YR2021],str,66,7.0,61,11228855780.6292,Thời gian (Date/Year)
2022 [YR2022],str,66,7.0,61,14411072071.9153,Thời gian (Date/Year)
2023 [YR2023],str,66,7.0,61,11578413348.423,Thời gian (Date/Year)
2024 [YR2024],str,66,7.0,61,11393732340.4437,Thời gian (Date/Year)
2025 [YR2025],str,66,7.0,58,10758583397.0485,Thời gian (Date/Year)
