Tên cột,Kiểu dữ liệu,Số lượng Non-Null,Tỷ lệ thiếu (%),Số giá trị duy nhất,Giá trị mẫu,Phân loại vai trò
Country Name,str,101,2.9,13,Brunei Darussalam,Quốc gia (Geography)
Country Code,str,99,4.8,11,BRN,Mã định danh (Key)
Series Name,str,99,4.8,9,"Life expectancy at birth, total (years)",Tên chỉ số (Indicator)
Series Code,str,99,4.8,9,SP.DYN.LE00.IN,Mã định danh (Key)
2015 [YR2015],str,99,4.8,86,74.88,Thời gian (Date/Year)
2016 [YR2016],str,99,4.8,81,74.905,Thời gian (Date/Year)
2017 [YR2017],str,99,4.8,86,74.943,Thời gian (Date/Year)
2018 [YR2018],str,99,4.8,87,74.992,Thời gian (Date/Year)
2019 [YR2019],str,99,4.8,85,75.049,Thời gian (Date/Year)
2020 [YR2020],str,99,4.8,80,75.114,Thời gian (Date/Year)
2021 [YR2021],str,99,4.8,82,74.869,Thời gian (Date/Year)
2022 [YR2022],str,99,4.8,78,72.917,Thời gian (Date/Year)
2023 [YR2023],str,99,4.8,74,75.327,Thời gian (Date/Year)
2024 [YR2024],str,99,4.8,43,75.501,Thời gian (Date/Year)
2025 [YR2025],str,99,4.8,1,..,Thời gian (Date/Year)
