Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Brunei Darussalam,BRN,Individuals using the Internet (% of population),IT.NET.USER.ZS,71.19999695,90,94.86669922,95,95,96.30549622,97.62879944,98.97042579,98.97039795,96.29828801,..
Brunei Darussalam,BRN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,109.7514992,122.426818,125.8704352,129.2681757,129.8452607,119.9338853,133.5970654,116.1084393,118.6737524,118.1305798,..
Brunei Darussalam,BRN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,8.153486874,8.447858098,9.490447626,11.29531075,12.24247764,15.88676006,17.58098472,19.80499374,20.2120497,21.17712401,..
Brunei Darussalam,BRN,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,563.6978579,601.0796045,1589.751648,1948.333752,10492.90684,15399.95172,14092.76965,21094.93379,8774.395412,16128.5094,..
Cambodia,KHM,Individuals using the Internet (% of population),IT.NET.USER.ZS,6.43319107,32.39845171,32.90027854,65,52.30587822,56.37590027,60.76269913,65.49079895,68.92549896,68.47530365,..
Cambodia,KHM,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,133.458414,125.6276445,115.5511924,119.3099435,129.9574415,126.0758948,117.2347852,113.3915066,120.8091194,116.0919611,..
Cambodia,KHM,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,0.534485428,0.615922623,0.831393686,1.02122815,1.118716092,1.397700298,1.980894063,2.963830835,3.641818011,4.145661601,..
Cambodia,KHM,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,10.11313202,20.37494568,54.93557917,80.98548148,159.3320529,188.4550477,166.3691091,183.4699824,223.1994252,817.2891117,..
Indonesia,IDN,Individuals using the Internet (% of population),IT.NET.USER.ZS,22.0627426,25.4473537,32.33580625,39.90463864,47.69064898,53.72649449,62.10447842,66.48461277,69.20836554,72.78075544,..
Indonesia,IDN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,129.4687977,145.7042513,162.7825118,118.3302169,125.2443481,129.4036211,132.1994443,122.8730122,125.2381948,122.5149465,..
Indonesia,IDN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,1.521394739,1.975378455,2.325042343,3.287295913,3.774225609,3.929937691,4.487463279,4.821515079,4.816639558,4.921966854,..
Indonesia,IDN,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,17.45230369,302.6670502,1267.736064,1272.123177,1672.329389,1868.763533,2189.146778,2496.408849,2722.389906,2939.490218,..
Lao PDR,LAO,Individuals using the Internet (% of population),IT.NET.USER.ZS,18.20000076,21.87000084,25.51040077,36.27130127,47.03229904,54,62,64.54000092,64.39800262,65.59269714,..
Lao PDR,LAO,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,54.79794961,57.29661959,52.88878959,51.37924915,64.06685829,63.1139886,64.71014977,63.35460465,64.75880669,..,..
Lao PDR,LAO,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,0.213918839,0.353548994,0.387808919,0.636626172,1.05393529,1.672108463,2.02268987,2.381860475,2.720211225,..,..
Lao PDR,LAO,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,4.116651192,8.250344995,16.2436039,20.20189266,30.94933207,52.26955354,82.24661803,273.9777857,274.1033162,301.6801292,..
Malaysia,MYS,Individuals using the Internet (% of population),IT.NET.USER.ZS,71.06406781,78.78830993,80.14047901,81.20104862,84.18714501,89.55501192,96.7514278,97.3986404,97.69272633,98.0206059,..
Malaysia,MYS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,141.2105313,136.7251673,130.8535228,128.8731504,133.3729219,129.0179117,137.6849386,138.2084411,142.7320921,139.6646513,..
Malaysia,MYS,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,9.80955981,8.552459705,8.307051468,8.191798193,8.864973579,9.911017429,10.89217823,12.17535661,13.02870004,13.54644327,..
Malaysia,MYS,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,226.6527642,912.7803563,4727.645044,5473.069205,6424.167799,7157.514418,7998.185891,8416.741621,8082.519826,7475.461063,..
Myanmar,MMR,Individuals using the Internet (% of population),IT.NET.USER.ZS,10.89999962,16,23.62108195,29.37899971,36.54050064,45.4477005,..,..,..,..,..
Myanmar,MMR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,80.23972297,98.2342602,92.39179552,116.9721363,155.6694169,148.1582081,127.2406451,107.5350895,121.0276268,114.3290421,..
Myanmar,MMR,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,0.064438458,0.174162128,0.214986286,0.246880529,0.922960523,1.299245922,1.672761709,2.096946382,2.798298024,2.869657594,..
Myanmar,MMR,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,1.076551503,21.10856022,10.19367245,9.450521612,12.59481421,14.42946408,12.66223441,14.8260349,20.17224064,23.59629088,..
Philippines,PHL,Individuals using the Internet (% of population),IT.NET.USER.ZS,36.90000153,39.20000076,41.59999847,44.09999847,43.02661187,53.76490021,66.90779877,75.21114422,77.86699677,67.26300914,..
Philippines,PHL,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,111.8931974,112.5179988,110.9621371,122.9604569,151.0066429,133.4562091,144.42429,147.4289264,117.2755217,115.2987496,..
Philippines,PHL,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2.753696334,2.797050536,3.144007262,3.46090446,5.697307035,7.08108895,8.508977157,7.639465251,6.539308551,7.138933012,..
Philippines,PHL,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,20.31088434,39.36826434,85.45159299,90.46703545,108.6145429,111.0265851,133.6505131,100.1892364,305.4977257,131.5566056,..
Singapore,SGP,Individuals using the Internet (% of population),IT.NET.USER.ZS,79.012957,84.45226789,84.45226789,88.16563603,88.94925269,92.00434653,96.92468156,95.95386476,94.28518987,94.37757178,..
Singapore,SGP,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,149.006215,151.6817171,149.5678683,152.073817,159.3473783,150.2593347,157.9776752,173.0052913,173.199933,170.782563,..
Singapore,SGP,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,26.89789226,28.53926098,26.33260993,26.50873594,26.52761774,26.86227236,27.52109969,27.55100325,27.4343636,27.81365503,..
