"","","Year","","","","","","","","",""
"Destination Country","Origin Country","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Brunei Darussalam","Cambodia [KH]","318","356","420","463","29","1","23","322","499","577"
"","Indonesia [ID]","20 844","22 420","27 462","33 626","6 262","135","1 596","13 672","25 974","31 747"
"","Lao PDR [LA]","192","144","233","221","46","1","94","131","192","257"
"","Malaysia [MY]","54 374","60 030","59 528","82 876","16 869","568","12 175","34 534","73 653","71 412"
"","Myanmar [MM]","596","643","667","872","75","35","199","850","1 617","1 318"
"","Philippines [PH]","17 064","23 157","22 319","24 584","4 562","118","1 914","9 963","18 228","19 054"
"","Singapore [SG]","14 473","14 919","14 091","14 789","2 226","430","4 193","9 203","19 664","22 781"
"","Thailand [TH]","6 303","6 302","5 828","5 730","1 040","43","613","2 455","4 519","4 782"
"","Timor-Leste [TL]","","","","","","","","","114",""
"","Total Country (World)","4 257 189","4 315 984","4 521 336","4 449 028","1 070 614","110 391","664 259","2 267 960","678 037","741 050"
"","Total Intra-ASEAN","117 525","131 351","134 596","168 705","32 571","1 344","21 439","73 894","149 048","156 545"
"","Viet Nam [VN]","3 361","3 380","4 048","5 544","1 462","13","632","2 764","4 588","4 617"
"Cambodia","Brunei Darussalam [BN]","1 120","1 009","790","1 131","150","11","560","545","541","462"
"","Indonesia [ID]","48 771","49 878","55 753","66 804","14 564","8 410","75 653","127 178","166 795","149 840"
"","Lao PDR [LA]","369 335","502 219","426 180","363 951","34 352","282","92 609","372 285","334 448","131 472"
"","Malaysia [MY]","152 843","179 316","201 116","203 008","25 734","2 989","53 123","87 825","94 260","96 268"
"","Myanmar [MM]","12 819","18 981","22 518","24 414","3 100","493","6 802","14 390","36 976","36 836"
"","Philippines [PH]","108 032","98 499","92 451","105 017","14 760","1 462","28 929","62 268","69 142","68 864"
"","Singapore [SG]","70 556","81 063","86 251","88 564","10 731","960","27 750","43 879","45 895","44 189"
"","Thailand [TH]","398 081","394 934","382 317","466 493","210 876","81 844","853 376","1 820 460","2 146 674","1 022 743"
"","Timor-Leste [TL]","","","","","20","1","207","383","313","285"
"","Total Country (World)","5 011 712","5 602 157","6 201 077","6 610 592","1 306 143","196 495","2 276 626","5 453 231","6 700 125","5 569 752"
"","Total Intra-ASEAN","2 121 220","2 161 254","2 067 504","2 228 185","496 486","118 572","1 603 004","3 549 025","4 235 631","2 773 060"
"","Viet Nam [VN]","959 663","835 355","800 128","908 803","182 199","22 120","463 995","1 019 812","1 340 587","1 222 101"
"Indonesia","Brunei Darussalam [BN]","23 693","23 455","17 279","19 278","2 701","144","4 798","13 518","19 811","31 797"
"","Cambodia [KH]","","6 506","8 875","13 843","2 227","228","4 945","12 611","10 497","10 949"
"","Indonesia [ID]","","241 831","704 824","664 645","151 163","9 952","217 614","419 493","566 888","632 016"
"","Lao PDR [LA]","","4 036","3 809","4 142","753","7","1 102","3 396","2 951","3 401"
"","Malaysia [MY]","1 541 197","2 121 888","2 503 344","2 980 753","980 118","480 723","1 212 574","1 901 242","2 270 556","2 639 749"
"","Myanmar [MM]","44 721","48 133","28 612","46 381","12 669","3 093","22 637","40 920","49 218","57 147"
"","Philippines [PH]","298 910","308 977","217 874","260 980","50 413","9 375","78 436","209 458","238 410","246 728"
"","Singapore [SG]","1 515 699","1 554 119","1 768 744","1 934 445","280 492","18 704","736 797","1 414 447","1 405 298","1 526 438"
"","Thailand [TH]","124 569","138 235","124 153","136 699","21 303","3 992","61 128","111 786","118 193","112 137"
"","Timor-Leste [TL]","","960 026","1 762 442","1 178 381","994 590","819 488","703 780","728 586","786 146","1 009 181"
"","Total Country (World)","11 519 275","14 039 799","15 810 305","16 106 954","4 052 923","1 557 530","5 889 031","11 677 825","14 347 813","15 386 646"
"","Total Intra-ASEAN","3 817 500","4 524 646","7 215 772","7 335 571","2 516 037","1 347 714","3 111 878","4 977 336","5 572 869","6 356 941"
"","Viet Nam [VN]","60 984","77 466","75 816","96 024","19 608","2 008","68 067","121 879","104 901","87 398"
