Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Brunei Darussalam,BRN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,171289167.8,-150550827.3,467927550.3,516202620.6,373256767.2,565542275.4,206462739.4,-290169984.9,-55927970.38,29063018.65,61805866.39
Brunei Darussalam,BRN,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,-95424021.33
Brunei Darussalam,BRN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1.324711795,-1.320590473,3.858188216,3.804865528,2.771180079,4.710575653,1.474049829,-1.739467977,-0.370504516,0.189449066,0.411162484
Cambodia,KHM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1822804151,2475915854,2788084322,3212633447,3663032999,3624644990,3483461606,3578831296,3958792379,4394647334,5099072042
Cambodia,KHM,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,87761038.01,79074478.55,114858066.2,123963610.3,101837547.9,127012891.2,92417625.05,150486280.4,151410511.2,171829024.4,138508720.8
Cambodia,KHM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,7.54029662,9.323185073,9.497602031,9.692403,9.985000442,10.41023981,9.468459111,8.948301258,9.35096702,9.48089832,9.946096891
Indonesia,IDN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,19779127977,4541713739,20510310832,18909826044,24993551748,19175077748,21213080330,24702029705,21543358781,24275445280,22283231892
Indonesia,IDN,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,9074649660,-11594202279,2008271972,6399215529,4462481182,5032603790,3926726202,6634821734,7125947951,8393557388,7929649552
Indonesia,IDN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2.297616394,0.487372471,2.019489198,1.814289793,2.233362043,1.81058402,1.787855631,1.872641009,1.571169664,1.738552903,1.541406717
Lao PDR,LAO,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1077759915,935296172.8,1686287305,1358019506,755524124.2,967706086.2,1071913716,726273736.5,1781176779,988457806.8,..
Lao PDR,LAO,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,39696967.66,15184319.07,9700838.352,10,10,..,..,6670,..,..,..
Lao PDR,LAO,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,7.470757773,5.877744362,9.877991605,7.485648622,4.031491392,5.098071935,5.69344696,4.695092258,11.2425631,5.989588636,..
Malaysia,MYS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,9857162112,13470089921,9368469823,8304480742,9154921685,4058769679,20245157327,15027992711,7918601050,15593246087,..
Malaysia,MYS,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,10541970865,10097317797,5608381193,5765334992,7527950990,3295991631,12784976093,11811334092,7965462488,13038524470,..
Malaysia,MYS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,3.270944029,4.471309586,2.935820381,2.314587212,2.506977057,1.202754643,5.416263771,3.684862155,1.979900627,3.693095393,..
Myanmar,MMR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,4083839112,3278096410,4804272487,1768195523,1735589413,1907154040,2066606470,1238500000,1520172000,1095317000,..
Myanmar,MMR,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,..
Myanmar,MMR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,6.851240987,5.178801325,7.273355552,2.605632299,2.312112112,2.413932229,3.114925617,1.989460761,2.277151317,1.478792233,..
Philippines,PHL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,5639155962,8279548275,10256442399,9948598824,8671365874,6822133291,11983363327,9492234668,8925128472,9398326660,7791345009
Philippines,PHL,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,5539505401,2396734618,3304731499,4115698240,3350936705,3562031274,2251120589,3861284251,3525109747,2698575806,1602154773
Philippines,PHL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1.840180107,2.598508035,3.122387784,2.868338261,2.301174986,1.885863632,3.040788553,2.347509723,2.042103548,2.035718823,1.599582626
Singapore,SGP,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,69774553125,65133174223,1.0197E+11,86126491249,1.06174E+11,79322385229,1.42313E+11,1.44148E+11,1.25787E+11,1.35077E+11,1.59088E+11
Singapore,SGP,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,45223210227,39878140503,65001647446,23250690407,69216012315,42748582162,75945341091,65053288201,51164734503,63609923417,94202455161
Singapore,SGP,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,22.65418269,20.30594063,29.57410086,22.78621061,28.1758142,22.58439429,32.26248514,28.03055194,24.60705625,23.5787256,26.34472544
Thailand,THA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,8927579182,3486184390,8285169820,13747219811,5534140215,-4293910677,15389597696,11854822038,10327587426,14302158846,18840812804
Thailand,THA,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,4991050838,13392638955,14182025151,17127311772,10163544234,18451975454,19322307661,7640306903,13682922127,7355191895,9334130353
Thailand,THA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2.22468549,0.843364341,1.815502601,2.712798351,1.017348776,-0.858310189,3.041123263,2.391570961,1.997547459,2.701652818,3.265249029
Viet Nam,VNM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,11800000000,12600000000,14100000000,15500000000,16120000000,15800000000,15660000000,17900000000,18500000000,20170000000,..
Viet Nam,VNM,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,1100000000,1000000000,480000000,598000000,485000000,380000000,319000000,2674000000,-1550000000,600000000,..
Viet Nam,VNM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,4.931907733,4.900893029,5.011487217,4.998283196,4.821074861,4.558361968,4.273145662,4.329473089,4.264588565,4.234507551,..
Timor-Leste,TLS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,42995500,5478700,6715937.467,47925664.57,-158426602.4,-350458946.4,-239021184.5,53663376.02,122186169.2,225465667.7,253238202.1
Timor-Leste,TLS,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,12666800,12666800,..,-30,-3166666.667,-25500000,-8500000,17000000,-68000000,4500000,..
Timor-Leste,TLS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2.703639303,0.333972461,0.423750962,3.08007813,-7.794473503,-16.20530079,-6.593643649,1.672485747,5.874992607,12.0853687,13.31304965
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,
Last Updated: 07/13/2026,,,,,,,,,,,,,,
