Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.88,74.905,74.943,74.992,75.049,75.114,74.869,72.917,75.327,75.501,..
Brunei Darussalam,BRN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.38708901,2.54828691,2.27022862,2.41600895,2.23100758,2.45359564,2.14748693,1.77042186,2.2286067,..,..
Brunei Darussalam,BRN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,10.7,10.7,10.7,10.6,10.5,10.4,10.3,10.2,10.1,9.9,..
Brunei Darussalam,BRN,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,9.9,9.9,9.9,9.8,9.7,9.6,9.5,9.4,9.3,9.2,..
Brunei Darussalam,BRN,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,11.4,11.5,11.5,11.4,11.3,11.2,11,10.9,10.8,10.7,..
Brunei Darussalam,BRN,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,39,39,39,39,38,39,44,88,36,..,..
Brunei Darussalam,BRN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.06,3.1,3.34,3.42,3.66,3.84,3.82,4.19,3.58,..,..
Brunei Darussalam,BRN,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,1.75,..,1.578,1.763,..,..,1.886,..,..,..,..
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.398,69.635,69.842,69.993,70.127,70.059,69.301,70.528,70.668,70.817,..
Cambodia,KHM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.53898621,4.49053288,4.26933241,4.49707794,5.05801058,5.13031435,6.33888054,4.46856117,4.61706829,..,..
Cambodia,KHM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,29.6,27.5,25.6,24.1,22.8,21.8,20.8,19.9,19.1,18.4,..
Cambodia,KHM,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,26.1,24.2,22.6,21.2,20.1,19.2,18.3,17.6,16.9,16.2,..
Cambodia,KHM,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,33,30.6,28.5,26.8,25.3,24.1,23.1,22.1,21.2,20.4,..
Cambodia,KHM,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,166,159,155,151,149,164,189,159,137,..,..
Cambodia,KHM,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,..,..,..,..,..,..,154,..,..,..,..
Cambodia,KHM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.83,..,..,0.73,..,..,..,..,..,..,..
Cambodia,KHM,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,0.15,0.197,0.195,0.211,0.211,..,..,..,..,..,..
