Tên cột,Kiểu dữ liệu,Số lượng Non-Null,Tỷ lệ thiếu (%),Số giá trị duy nhất,Giá trị mẫu,Phân loại vai trò
Country Name,str,35,7.9,13,Brunei Darussalam,Quốc gia (Geography)
Country Code,str,33,13.2,11,BRN,Mã định danh (Key)
Series Name,str,33,13.2,3,"Foreign direct investment, net inflows (BoP, current US$)",Tên chỉ số (Indicator)
Series Code,str,33,13.2,3,BX.KLT.DINV.CD.WD,Mã định danh (Key)
2015 [YR2015],str,33,13.2,32,171289167.8,Thời gian (Date/Year)
2016 [YR2016],str,33,13.2,32,-150550827.3,Thời gian (Date/Year)
2017 [YR2017],str,33,13.2,31,467927550.3,Thời gian (Date/Year)
2018 [YR2018],str,33,13.2,32,516202620.6,Thời gian (Date/Year)
2019 [YR2019],str,33,13.2,32,373256767.2,Thời gian (Date/Year)
2020 [YR2020],str,33,13.2,31,565542275.4,Thời gian (Date/Year)
2021 [YR2021],str,33,13.2,31,206462739.4,Thời gian (Date/Year)
2022 [YR2022],str,33,13.2,32,-290169984.9,Thời gian (Date/Year)
2023 [YR2023],str,33,13.2,31,-55927970.38,Thời gian (Date/Year)
2024 [YR2024],str,33,13.2,31,29063018.65,Thời gian (Date/Year)
2025 [YR2025],str,33,13.2,21,61805866.39,Thời gian (Date/Year)
