Tên cột,Kiểu dữ liệu,Số lượng Non-Null,Tỷ lệ thiếu (%),Số giá trị duy nhất,Giá trị mẫu,Phân loại vai trò
Country Name,str,123,2.4,13,Brunei Darussalam,Quốc gia (Geography)
Country Code,str,121,4.0,11,BRN,Mã định danh (Key)
Series Name,str,121,4.0,11,"Literacy rate, adult total (% of people ages 15 and above)",Tên chỉ số (Indicator)
Series Code,str,121,4.0,11,SE.ADT.LITR.ZS,Mã định danh (Key)
2015 [YR2015],str,121,4.0,91,..,Thời gian (Date/Year)
2016 [YR2016],str,121,4.0,103,..,Thời gian (Date/Year)
2017 [YR2017],str,121,4.0,106,..,Thời gian (Date/Year)
2018 [YR2018],str,121,4.0,109,..,Thời gian (Date/Year)
2019 [YR2019],str,121,4.0,103,..,Thời gian (Date/Year)
2020 [YR2020],str,121,4.0,99,..,Thời gian (Date/Year)
2021 [YR2021],str,121,4.0,93,..,Thời gian (Date/Year)
2022 [YR2022],str,121,4.0,94,..,Thời gian (Date/Year)
2023 [YR2023],str,121,4.0,94,..,Thời gian (Date/Year)
2024 [YR2024],str,121,4.0,60,..,Thời gian (Date/Year)
2025 [YR2025],str,121,4.0,23,..,Thời gian (Date/Year)
