Tên cột,Kiểu dữ liệu,Số lượng Non-Null,Tỷ lệ thiếu (%),Số giá trị duy nhất,Giá trị mẫu,Phân loại vai trò
Country Name,str,68,4.2,13,Brunei Darussalam,Quốc gia (Geography)
Country Code,str,66,7.0,11,BRN,Mã định danh (Key)
Series Name,str,66,7.0,6,"Labor force participation rate, total (% of total population",Tên chỉ số (Indicator)
Series Code,str,66,7.0,6,SL.TLF.CACT.ZS,Mã định danh (Key)
2015 [YR2015],float64,66,7.0,66,65.682,Thời gian (Date/Year)
2016 [YR2016],float64,66,7.0,66,65.421,Thời gian (Date/Year)
2017 [YR2017],float64,66,7.0,66,65.191,Thời gian (Date/Year)
2018 [YR2018],float64,66,7.0,66,66.433,Thời gian (Date/Year)
2019 [YR2019],float64,66,7.0,66,64.793,Thời gian (Date/Year)
2020 [YR2020],float64,66,7.0,66,63.954,Thời gian (Date/Year)
2021 [YR2021],float64,66,7.0,65,63.895,Thời gian (Date/Year)
2022 [YR2022],float64,66,7.0,66,64.083,Thời gian (Date/Year)
2023 [YR2023],float64,66,7.0,66,64.733,Thời gian (Date/Year)
2024 [YR2024],float64,66,7.0,66,64.509,Thời gian (Date/Year)
2025 [YR2025],float64,66,7.0,66,64.235,Thời gian (Date/Year)
